EC1,EC1-0041,EC1-0041,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
EG1,EG1-0042,EG1-0042,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
EGK1,EGK1-0043,EGK1-0043,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
ELS1,ELS1-0044,ELS1-0044,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
EPRO1,EPRO1-0045,EPRO1-0045,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
ERO1,ERO1-0046,ERO1-0046,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
EWG1,EWG1-0047,EWG1-0047,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
FA1,FA1-0048,FA1-0048,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
FB8,FB8-0049,FB8-0049,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
FC1,FC1-0050,FC1-0050,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
FH1,FH1-0051,FH1-0051,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
GAL1,GAL1-0052,GAL1-0052,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
GB1,GB1-0053,GB1-0053,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
GS1,GS1-0054,GS1-0054,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HA1,HA1-0055,HA1-0055,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HAR1,HAR1-0056,HAR1-0056,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HERG1,HERG1-0057,HERG1-0057,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HERS1,HERS1-0058,HERS1-0058,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HERS6,HERS6-0059,HERS6-0059,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HERS8,HERS8-0060,HERS8-0060,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HERS9,HERS9-0061,HERS9-0061,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HERSA1,HERSA1-0062,HERSA1-0062,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HH1,HH1-0063,HH1-0063,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HLH1,HLH1-0064,HLH1-0064,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HLH2,HLH2-0065,HLH2-0065,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HLH3,HLH3-0066,HLH3-0066,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HM1,HM1-0067,HM1-0067,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HORZ1,HORZ1-0068,HORZ1-0068,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HRS1,HRS1-0069,HRS1-0069,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
HYB1,HYB1-0070,HYB1-0070,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
JAN-1,JAN-1-0071,JAN-1-0071,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
JG2,JG2-0072,JG2-0072,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
JG3,JG3-0073,JG3-0073,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
KAZ1,KAZ1-0074,KAZ1-0074,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
KAZ2,KAZ2-0075,KAZ2-0075,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
KAZ3,KAZ3-0076,KAZ3-0076,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
KAZ4,KAZ4-0077,KAZ4-0077,H_lupulus,../HOP-REF/Humulus_lupulus_lupulus_21110M_HAP2_v1.0.fa,,
