Run,BioSample,LibraryName,refGenome,refPath
SRR1946211,SAMN03327055,SAMN03327055,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946212,SAMN03327056,SAMN03327056,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946213,SAMN03327057,SAMN03327057,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946214,SAMN03327058,SAMN03327058,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946215,SAMN03327059,SAMN03327059,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946216,SAMN03327060,SAMN03327060,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946217,SAMN03327061,SAMN03327061,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946218,SAMN03327062,SAMN03327062,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946219,SAMN03327063,SAMN03327063,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946220,SAMN03327064,SAMN03327064,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946221,SAMN03327065,SAMN03327065,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946222,SAMN03327066,SAMN03327066,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946223,SAMN03327067,SAMN03327067,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946224,SAMN03327068,SAMN03327068,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946225,SAMN03327069,SAMN03327069,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946226,SAMN03327070,SAMN03327070,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946227,SAMN03327071,SAMN03327071,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946228,SAMN03327072,SAMN03327072,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946229,SAMN03327073,SAMN03327073,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946230,SAMN03327074,SAMN03327074,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946231,SAMN03327075,SAMN03327075,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946232,SAMN03327076,SAMN03327076,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946233,SAMN03327077,SAMN03327077,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946234,SAMN03327078,SAMN03327078,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946235,SAMN03327079,SAMN03327079,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946236,SAMN03327080,SAMN03327080,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946237,SAMN03327081,SAMN03327081,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946238,SAMN03327082,SAMN03327082,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946239,SAMN03327083,SAMN03327083,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946240,SAMN03327084,SAMN03327084,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946241,SAMN03327085,SAMN03327085,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946242,SAMN03327086,SAMN03327086,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946243,SAMN03327087,SAMN03327087,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946244,SAMN03327088,SAMN03327088,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946245,SAMN03327089,SAMN03327089,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946246,SAMN03327090,SAMN03327090,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946247,SAMN03327091,SAMN03327091,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946248,SAMN03327092,SAMN03327092,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946249,SAMN03327093,SAMN03327093,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946250,SAMN03327094,SAMN03327094,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946251,SAMN03327095,SAMN03327095,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946252,SAMN03327096,SAMN03327096,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946253,SAMN03327097,SAMN03327097,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946254,SAMN03327098,SAMN03327098,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946255,SAMN03327099,SAMN03327099,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946256,SAMN03327100,SAMN03327100,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946257,SAMN03327101,SAMN03327101,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946258,SAMN03327102,SAMN03327102,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946259,SAMN03327103,SAMN03327103,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946260,SAMN03327104,SAMN03327104,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946261,SAMN03327105,SAMN03327105,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946262,SAMN03327106,SAMN03327106,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946263,SAMN03327107,SAMN03327107,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946264,SAMN03327108,SAMN03327108,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946265,SAMN03327109,SAMN03327109,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946266,SAMN03327110,SAMN03327110,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946267,SAMN03327111,SAMN03327111,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946268,SAMN03327112,SAMN03327112,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946269,SAMN03327113,SAMN03327113,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946270,SAMN03327114,SAMN03327114,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946271,SAMN03327115,SAMN03327115,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946272,SAMN03327116,SAMN03327116,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946273,SAMN03327117,SAMN03327117,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946274,SAMN03327118,SAMN03327118,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946275,SAMN03327119,SAMN03327119,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946276,SAMN03327120,SAMN03327120,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946277,SAMN03327121,SAMN03327121,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946278,SAMN03327122,SAMN03327122,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946279,SAMN03327123,SAMN03327123,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946280,SAMN03327124,SAMN03327124,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946281,SAMN03327125,SAMN03327125,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946282,SAMN03327126,SAMN03327126,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946283,SAMN03327127,SAMN03327127,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946284,SAMN03327128,SAMN03327128,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946285,SAMN03327129,SAMN03327129,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946286,SAMN03327130,SAMN03327130,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946287,SAMN03327131,SAMN03327131,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946288,SAMN03327132,SAMN03327132,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946289,SAMN03327133,SAMN03327133,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946290,SAMN03327134,SAMN03327134,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946291,SAMN03327135,SAMN03327135,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946292,SAMN03327136,SAMN03327136,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946293,SAMN03327137,SAMN03327137,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946294,SAMN03327138,SAMN03327138,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946295,SAMN03327139,SAMN03327139,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946296,SAMN03327140,SAMN03327140,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946297,SAMN03327141,SAMN03327141,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946298,SAMN03327142,SAMN03327142,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946299,SAMN03327143,SAMN03327143,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946300,SAMN03327144,SAMN03327144,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946301,SAMN03327145,SAMN03327145,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946302,SAMN03327146,SAMN03327146,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946303,SAMN03327147,SAMN03327147,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946304,SAMN03327148,SAMN03327148,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946305,SAMN03327149,SAMN03327149,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946306,SAMN03327150,SAMN03327150,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946307,SAMN03327151,SAMN03327151,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946308,SAMN03327152,SAMN03327152,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946309,SAMN03327153,SAMN03327153,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946310,SAMN03327154,SAMN03327154,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946311,SAMN03327155,SAMN03327155,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946312,SAMN03327156,SAMN03327156,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946313,SAMN03327157,SAMN03327157,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946314,SAMN03327158,SAMN03327158,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
SRR1946315,SAMN03327159,SAMN03327159,GCF_000001735.3,REFERENCE/TAIR10_REF.fna
