Run,BioSample,LibraryName,refGenome,refPath,bamPath,baiPath
SRR1945442,SAMN03326286,SAMN03326286,GCF_000001735.3,REFERENCE/TAIR10_REF.fna,bams/SAMN03326286_final.bam,bams/SAMN03326286_final.bam.bai
SRR1945443,SAMN03326287,SAMN03326287,GCF_000001735.3,REFERENCE/TAIR10_REF.fna,bams/SAMN03326287_final.bam,bams/SAMN03326287_final.bam.bai
SRR1945444,SAMN03326288,SAMN03326288,GCF_000001735.3,REFERENCE/TAIR10_REF.fna,bams/SAMN03326288_final.bam,bams/SAMN03326288_final.bam.bai
SRR1945445,SAMN03326289,SAMN03326289,GCF_000001735.3,REFERENCE/TAIR10_REF.fna,bams/SAMN03326289_final.bam,bams/SAMN03326289_final.bam.bai
